aalib 1.4rc5-13
acpi 1.7-2
alsa-utils 1.1.8-1
arandr 0.1.9-3
arc-icon-theme 20161122-2
ascii 3.18-1
autoconf 2.69-5
automake 1.16.1-1
bash 5.0.0-1
bash-completion 2.8-1
binutils 2.31.1-4
binwalk 2.1.1-5
bluez-utils 5.50-6
bzip2 1.0.6-8
calcurse 4.3.0-1
cmake 3.13.2-1
code 1.30.2-1
compton 4.0-1
coreutils 8.30-1
cryptsetup 2.0.6-1
device-mapper 2.02.183-2
dhcpcd 7.0.8-1
dialog 1:1.3_20181107-1
diffutils 3.7-1
dmenu 4.8-1
dunst 1.3.2-2
e2fsprogs 1.44.5-1
fail2ban 0.10.4-1
fakeroot 1.23-1
feh 3.1.1-1
figlet 2.2.5-3
file 5.35-1
filesystem 2018.12-2
findutils 4.6.0-4
firefox 64.0.2-1
flashplugin 32.0.0.114-1
flex 2.6.4-2
gawk 4.2.1-2
gcc 8.2.1+20181127-1
gcc-libs 8.2.1+20181127-1
gdb 8.2.1-3
ghostscript 9.26-1
git 2.20.1-1
glibc 2.28-5
gnome-keyring 1:3.28.2-1
gobject-introspection 1.58.3-1
gopass 1.8.4-1
grep 3.3-1
grilo-plugins 0.3.8-1
gst-plugins-base 1.14.4-1
gst-plugins-good 1.14.4-1
gvfs 1.38.1+8+ge4eec2bc-1
gvim 8.1.0751-1
gzip 1.10-1
htop 2.2.0-2
httpie 1.0.2-1
i3-gaps 4.16-1
i3blocks 1.4-6
i3lock 2.11.1-1
i3status 2.12-2
ida-free 7.0-3
imagemagick 7.0.8.23-1
inetutils 1.9.4-7
intel-ucode 20180807.a-1
ipcalc 0.41-6
iproute2 4.20.0-1
iputils 20180629.f6aac8d-3
iw 4.14-1
jfsutils 1.1.15-6
john 1.8.0.jumbo1-10
less 530-1
libcaca 0.99.beta19-2
libtool 2.4.6+42+gb88cebd5-2
libva-intel-driver 2.3.0-1
licenses 20181104-1
linux 4.20.3.arch1-1
linux-hardened 4.19.15.a-1
logrotate 3.15.0-1
lvm2 2.02.183-2
lxappearance 0.6.3-2
m4 1.4.18-2
maim 5.5.2-3
make 4.2.1-3
man-db 2.8.5-1
man-pages 4.16-2
mdadm 4.0-2
mpc 0.31-1
mpd 0.21.4-1
nasm 2.14-1
nautilus 3.30.5-1
neofetch 6.0.0-1
neovim 0.3.4-2
netctl 1.19-1
network-manager-applet 1.8.19dev+21+geebf7f95-1
networkmanager 1.14.5dev+17+gba83251bb-2
ninja 1.8.2-1
nmap 7.70-2
nnn 2.2-1
noto-fonts 20181024-1
noto-fonts-emoji 20180810-2
numix-gtk-theme 2.6.7-1
numlockx 1.2-4
opera 57.0.3098.116-1
opera-ffmpeg-codecs 70.0.3538.102-1
otf-font-awesome 5.6.3-1
p7zip 16.02-5
pacman 5.1.2-2
patch 2.7.6-7
pciutils 3.6.2-1
pepper-flash 32.0.0.114-1
perl 5.28.1-1
pkgconf 1.5.4-1
polybar 3.3.0-1
powerline-fonts 2.7-2
procps-ng 3.3.15-1
psmisc 23.2-1
pulseaudio 12.2-2
python-dbus 1.2.8-2
python-gobject 3.30.4-1
python-pip 18.1-1
reflector 2018-2
reiserfsprogs 3.6.27-2
rofi 1.5.2-1
s-nail 14.9.11-2
sed 4.7-1
shadow 4.6-2
siji-git r22.9d88311-1
speech-dispatcher 0.8.8-3
sqlitebrowser 3.10.1-1
strace 4.26-1
sudo 1.8.27-1
sxiv 24-1
sysfsutils 2.1.0-10
sysstat 12.0.2-2
systemd-sysvcompat 240.34-3
tar 1.31-2
tcl 8.6.9-2
telegram-desktop 1.5.4-3
termite 14-2
tesseract 4.0.0-1
tesseract-data-eng 1:4.0.0-1
testdisk 7.0-5
texinfo 6.5-2
texlive-bibtexextra 2018.49283-1
texlive-core 2018.49285-1
texlive-formatsextra 2018.48634-1
texlive-humanities 2018.49287-1
texlive-latexextra 2018.49282-1
texlive-pictures 2018.49201-1
texlive-pstricks 2018.49223-1
texlive-science 2018.49286-1
thunderbird 60.4.0-1
tlp 1.1-1
tracker 2.1.6-2
tracker-miners 2.1.5-2
ttf-arphic-uming 0.2.20080216.1-6
ttf-baekmuk 2.2-10
ttf-font-awesome 5.6.3-1
ttf-freefont 20120503-5
ttf-inconsolata 1:2.0.0.1-3
ttf-monaco 6.1-3
unzip 6.0-13
usbutils 010-1
util-linux 2.33.1-2
vi 1:070224-3
virtualbox 6.0.2-1
vlc 3.0.6-1
w3m 0.5.3.git20180125-1
which 2.21-3
wmctrl 1.07-5
wpa_supplicant 2:2.6-2
xclip 0.13-2
xdg-user-dirs-gtk 0.10+9+g5b7efc6-2
xdotool 3.20160805.1-2
xf86-video-intel 1:2.99.917+855+g746ab3bb-1
xfsprogs 4.19.0-2
xorg-font-util 1.3.1-2
xorg-fonts-encodings 1.0.4-5
xorg-server 1.20.3-1
xorg-xbacklight 1.2.2-1
xorg-xev 1.2.2-2
xorg-xfd 1.1.2-2
xorg-xinit 1.4.0-3
xorg-xinput 1.6.2-2
xorg-xprop 1.2.3-1
xterm 342-1
yay 9.0.1-3
youtube-dl 2019.01.16-1
zathura 0.4.3-1
zathura-pdf-mupdf 0.3.4-1
zip 3.0-8
